name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
"The Land Before Time",G,Animation,1988,1988-11-18,7.4,82000,"Don Bluth","Stu Krieger","Pat Hingle","United States",12500000,84460846,Lucasfilm,69
"Rambo III",R,Action,1988,1988-05-25,5.8,125000,"Peter MacDonald","David Morrell","Sylvester Stallone","United States",63000000,189015611,"Carolco Pictures",102
"The Accused",R,Crime,1988,1988-10-14,7.2,33000,"Jonathan Kaplan","Tom Topor","Kelly McGillis",Canada,13000000,32078318,"Paramount Pictures",111
"Dangerous Liaisons",R,Drama,1988,1989-02-24,7.6,66000,"Stephen Frears","Christopher Hampton","Glenn Close","United States",14000000,34670720,"Lorimar Film Entertainment",119
"Earth Girls Are Easy",PG,Comedy,1988,1989-05-12,5.4,21000,"Julien Temple","Julie Brown","Geena Davis","United Kingdom",10000000,3916303,"De Laurentiis Entertainment Group (DEG)",100
Hairspray,PG,Comedy,1988,1988-02-26,7,20000,"John Waters","John Waters","Sonny Bono","United States",2000000,6673032,"New Line Cinema",92
"Dead Ringers",R,Drama,1988,1988-09-23,7.3,43000,"David Cronenberg","David Cronenberg","Jeremy Irons",Canada,13000000,8038508,"Morgan Creek Entertainment",116
"Bull Durham",R,Comedy,1988,1988-06-15,7.1,49000,"Ron Shelton","Ron Shelton","Kevin Costner","United States",7000000,50888729,"The Mount Company",108
"The Unbearable Lightness of Being",R,Drama,1988,1988-02-05,7.3,35000,"Philip Kaufman","Milan Kundera","Daniel Day-Lewis",Sweden,17000000,10006806,"The Saul Zaentz Company",171
"The Blob",R,Horror,1988,1988-08-05,6.5,34000,"Chuck Russell","Theodore Simonson","Shawnee Smith","United States",19000000,8247943,"TriStar Pictures",95
"Oliver & Company",G,Animation,1988,1988-11-18,6.7,45000,"George Scribner","Jim Cox","Joey Lawrence","United States",31000000,74151346,"Walt Disney Animation Studios",74
Beaches,PG-13,Comedy,1988,1989-01-13,6.9,24000,"Garry Marshall","Iris Rainer","Bette Midler","United States",20000000,57041866,"All Girl Productions",123
"Red Heat",R,Action,1988,1988-06-17,6.1,67000,"Walter Hill","Walter Hill","Arnold Schwarzenegger","United States",29000000,34994648,"Carolco Pictures",104
"A Nightmare on Elm Street 4: The Dream Master",R,Horror,1988,1988-08-19,5.7,51000,"Renny Harlin","Wes Craven","Robert Englund","United States",13000000,49369899,"New Line Cinema",93
"The Adventures of Baron Munchausen",PG,Adventure,1988,1989-03-10,7.2,52000,"Terry Gilliam","Charles McKeown","John Neville","United Kingdom",46630000,8083123,"Prominent Features",126
"Halloween 4: The Return of Michael Myers",R,Horror,1988,1988-10-21,5.9,45000,"Dwight H. Little","Dhani Lipsius","Donald Pleasence","United States",5000000,17768757,"Trancas International Films",88
"Elvira: Mistress of the Dark",PG-13,Comedy,1988,1988-09-30,6.6,14000,"James Signorelli","Sam Egan","Cassandra Peterson","United States",7500000,5596267,"NBC Productions",96
"Mac and Me",PG,Adventure,1988,1988-08-12,3.4,12000,"Stewart Raffill","Stewart Raffill","Christine Ebersole","United States",13000000,6424112,"Mac and Me Joint Venture",99
"Above the Law",R,Action,1988,1988-04-22,6,30000,"Andrew Davis","Andrew Davis","Steven Seagal","United States",7500000,18869631,"Warner Bros.",99
Scrooged,PG-13,Comedy,1988,1988-11-23,7,90000,"Richard Donner","Mitch Glazer","Bill Murray","United States",32000000,60329001,"Paramount Pictures",101
"The Dead Pool",R,Action,1988,1988-07-13,6.3,42000,"Buddy Van Horn","Harry Julian Fink","Clint Eastwood","United States",31000000,37903295,"Warner Bros.",91
"I'm Gonna Git You Sucka",R,Action,1988,1989-01-11,6.6,13000,"Keenen Ivory Wayans","Keenen Ivory Wayans","Keenen Ivory Wayans","United States",3000000,13030057,"Front Films",88
Pumpkinhead,R,Fantasy,1988,1989-01-13,6.2,21000,"Stan Winston","Ed Justin","Lance Henriksen","United States",3500000,4385516,"De Laurentiis Entertainment Group (DEG)",86
"Friday the 13th Part VII: the New Blood",R,Horror,1988,1988-05-13,5.3,34000,"John Carl Buechler","Daryl Haney","Terry Kiser","United States",2800000,19170001,"Paramount Pictures",88
"License to Drive",PG-13,Comedy,1988,1988-07-06,6.3,19000,"Greg Beeman","Neil Tolkin","Corey Haim","United States",8000000,22433275,"Twentieth Century Fox",88
"Hellbound: Hellraiser II",R,Horror,1988,1988-12-23,6.5,44000,"Tony Randel","Peter Atkins","Doug Bradley","United Kingdom",3000000,12090735,"New World Pictures",97
Frantic,R,Crime,1988,1988-02-26,6.9,51000,"Roman Polanski","Roman Polanski","Harrison Ford",France,20000000,17637950,"Warner Bros.",120
Colors,R,Action,1988,1988-04-29,6.7,25000,"Dennis Hopper","Michael Schiffer","Sean Penn","United States",6000000,46616067,"Orion Pictures",120
"My Stepmother Is an Alien",PG-13,Comedy,1988,1988-12-09,5.4,25000,"Richard Benjamin","Jerico Stone","Dan Aykroyd","United States",20000000,13854000,"Weintraub Entertainment Group",105
"A Cry in the Dark",PG-13,Biography,1988,1988-11-11,6.9,9600,"Fred Schepisi","John Bryson","Meryl Streep",Australia,15000000,6908797,"Cannon Entertainment",120
"The Lair of the White Worm",R,Comedy,1988,1988-10-21,5.9,10000,"Ken Russell","Ken Russell","Amanda Donohoe","United Kingdom",2500000,1189315,"White Lair",93
"High Spirits",PG-13,Comedy,1988,1988-11-18,5.8,8900,"Neil Jordan","Neil Jordan","Peter O'Toole",Ireland,17000000,8578231,"Vision PDG",99
"Vampire's Kiss",R,Comedy,1988,1989-06-16,6,15000,"Robert Bierman","Joseph Minion","Nicolas Cage","United States",2000000,725131,Hemdale,103
"Return of the Living Dead II",R,Comedy,1988,1988-01-15,5.8,19000,"Ken Wiederhorn","Ken Wiederhorn","James Karen","United States",6200000,9205924,"Lorimar Motion Pictures",89
"The New Adventures of Pippi Longstocking",G,Adventure,1988,1988-07-29,5.9,4000,"Ken Annakin","Astrid Lindgren","Tami Erin",Sweden,5000000,3569939,"Columbia Pictures",100
"Eight Men Out",PG,Drama,1988,1989-06-29,7.2,19000,"John Sayles","Eliot Asinof","John Cusack","United States",6000000,5680515,"Orion Pictures",119
"Maniac Cop",R,Action,1988,1988-05-13,6,15000,"William Lustig","Larry Cohen","Tom Atkins","United States",1100000,671382,"Shapiro-Glickenhaus Entertainment",85
"Women on the Verge of a Nervous Breakdown",R,Comedy,1988,1988-11-11,7.6,37000,"Pedro AlmodÃ³var","Pedro AlmodÃ³var","Carmen Maura",Spain,700000,7263129,Laurenfilm,88
"She's Having a Baby",PG-13,Comedy,1988,1988-02-05,5.9,12000,"John Hughes","John Hughes","Kevin Bacon","United States",20000000,16031707,"Paramount Pictures",106
"Tequila Sunrise",R,Crime,1988,1988-12-02,6.1,30000,"Robert Towne","Robert Towne","Mel Gibson","United States",23000000,41292551,"Cinema City Films",115
"Night of the Demons",R,Comedy,1988,1988-10-14,6.2,14000,"Kevin Tenney","Joe Augustyn","Cathy Podewell","United States",1200000,3109904,"Blue Rider Pictures",90
"Biloxi Blues",PG-13,Comedy,1988,1988-03-25,6.6,15000,"Mike Nichols","Neil Simon","Matthew Broderick","United States",20000000,51684798,"Rastar Pictures",106
Shag,PG,Comedy,1988,1989-07-21,6.4,4000,"Zelda Barron","Lanier Laney","Phoebe Cates","United Kingdom",5000000,6957975,"Palace Pictures",98
"Cocoon: the Return",PG,Adventure,1988,1988-11-23,5.4,16000,"Daniel Petrie","David Saperstein","Don Ameche","United States",17500000,25024919,"Zanuck/Brown Productions",116
"Poltergeist III",PG,Horror,1988,1988-06-10,4.7,17000,"Gary Sherman","Gary Sherman","Heather O'Rourke","United States",10500000,14114488,"Metro-Goldwyn-Mayer (MGM)",98
Waxwork,R,Comedy,1988,1988-06-17,6.2,12000,"Anthony Hickox","Anthony Hickox","Zach Galligan","United States",3000000,808114,Palla,95
"Funny Farm",PG,Comedy,1988,1988-06-03,6.2,20000,"George Roy Hill","Jay Cronley","Chevy Chase","United States",19000000,25537221,"Cornelius Productions",101
"Fright Night Part 2",R,Comedy,1988,1989-05-19,5.9,12000,"Tommy Lee Wallace","Tom Holland","William Ragsdale","United States",7500000,2983784,"Vista Organization",104
"Caddyshack II",PG,Comedy,1988,1988-07-22,3.8,15000,"Allan Arkush","Brian Doyle-Murray","Jackie Mason","United States",20000000,11798302,"The Guber-Peters Company",98
"School Daze",R,Comedy,1988,1988-02-12,6,6700,"Spike Lee","Spike Lee","Laurence Fishburne","United States",6500000,14545844,"Columbia Pictures",121
"Johnny Be Good",R,Comedy,1988,1988-03-25,4.6,6300,"Bud S. Smith","Steve Zacharias","Anthony Michael Hall","United States",22000000,17550399,"Zacharias-Buhai Productions",91
"Short Circuit 2",PG,Comedy,1988,1988-07-06,5.7,24000,"Kenneth Johnson","S.S. Wilson","Fisher Stevens","United States",15000000,21630088,"TriStar Pictures",110
"The Serpent and the Rainbow",R,Fantasy,1988,1988-02-05,6.5,23000,"Wes Craven","Wade Davis","Bill Pullman","United States",7000000,19595031,"Universal Pictures",98
"Monkey Shines",R,Drama,1988,1988-07-29,6.2,11000,"George A. Romero","Michael Stewart","Jason Beghe","United States",7000000,5344577,"Orion Pictures",113
Masquerade,R,Drama,1988,1988-03-11,6.1,3500,"Bob Swaim","Dick Wolf","Rob Lowe","United States",12000000,15855828,"Metro-Goldwyn-Mayer (MGM)",91
"Phantasm II",R,Action,1988,1988-07-08,6.5,14000,"Don Coscarelli","Don Coscarelli","James Le Gros","United States",3000000,7282851,"Spacegate Productions",97
"Tucker: The Man and His Dream",PG,Biography,1988,1988-08-12,6.9,17000,"Francis Ford Coppola","Arnold Schulman","Jeff Bridges","United States",23000000,19652638,Lucasfilm,110
"Action Jackson",R,Action,1988,1988-02-12,5.4,10000,"Craig R. Baxley","Robert Reneau","Carl Weathers","United States",7000000,20256975,"Lorimar Film Entertainment",96
"Bright Lights, Big City",R,Drama,1988,1988-04-01,5.7,7600,"James Bridges","Jay McInerney","Michael J. Fox","United States",25000000,16118077,"United Artists",107
"Shoot to Kill",R,Action,1988,1988-02-12,6.8,12000,"Roger Spottiswoode","Harv Zimmel","Sidney Poitier","United States",15000000,29300090,"Touchstone Pictures",110
"The Beast of War",R,Adventure,1988,1988-09-07,7.3,9100,"Kevin Reynolds","William Mastrosimone","George Dzundza","United States",8000000,161004,"A&M Films",111
"Lady in White",PG-13,Fantasy,1988,1988-04-22,6.7,6400,"Frank LaLoggia","Frank LaLoggia","Lukas Haas","United States",4700000,1705139,"New Sky Communications Inc.",113
"Gorillas in the Mist",PG-13,Biography,1988,1988-10-07,7,25000,"Michael Apted","Harold T.P. Hayes","Sigourney Weaver","United States",22000000,61149479,"Universal Pictures",129
"Alien Nation",R,Action,1988,1988-10-07,6.3,15000,"Graham Baker","Rockne S. O'Bannon","James Caan","United States",16000000,32155047,"American Entertainment Partners II L.P.",91
Betrayed,R,Crime,1988,1988-08-26,6.3,5800,Costa-Gavras,"Joe Eszterhas","Debra Winger",Japan,19000000,25816139,"United Artists",127
"Miracle Mile",R,Action,1988,1989-05-19,7,9800,"Steve De Jarnatt","Steve De Jarnatt","Anthony Edwards","United States",3700000,1145404,Hemdale,87
"Appointment with Death",PG,Crime,1988,1988-04-27,6.2,4200,"Michael Winner","Agatha Christie","Peter Ustinov","United States",6000000,960040,"Golan-Globus Productions",102
"Critters 2",PG-13,Comedy,1988,1988-04-29,5.5,14000,"Mick Garris","David Twohy","Scott Grimes","United States",4500000,3813293,"New Line Cinema",86
"Dead Heat",R,Action,1988,1988-05-06,6,7200,"Mark Goldblatt","Terry Black","Treat Williams","United States",5000000,3588626,"New World Pictures",86
"Talk Radio",R,Drama,1988,1989-01-13,7.3,13000,"Oliver Stone","Stephen Singular","Eric Bogosian","United States",4000000,3468572,"Cineplex Odeon Films",110
"The Milagro Beanfield War",R,Comedy,1988,1988-03-18,6.9,6000,"Robert Redford","John Nichols","RubÃ©n Blades","United States",22000000,13825794,Esparza,117
"Fresh Horses",PG-13,Drama,1988,1988-11-18,5.1,1700,"David Anspaugh","Larry Ketron","Molly Ringwald","United States",14000000,6640346,"Weintraub Entertainment Group",105
Bird,R,Biography,1988,1988-09-30,7.2,12000,"Clint Eastwood","Joel Oliansky","Forest Whitaker","United States",9000000,2181286,"The Malpaso Company",161
Punchline,R,Comedy,1988,1988-10-07,5.9,8200,"David Seltzer","David Seltzer","Sally Field","United States",15000000,21042667,"Columbia Pictures",128
"Little Nikita",PG,Drama,1988,1988-03-18,6,5100,"Richard Benjamin","John Hill","Sidney Poitier","United States",15000000,1733070,"Columbia Pictures",98
Vibes,PG,Adventure,1988,1988-08-05,5.7,3900,"Ken Kwapis","Deborah Blum","Cyndi Lauper","United States",18000000,1883811,"Imagine Entertainment",99
"Red Scorpion",R,Action,1988,1989-04-21,5.2,8400,"Joseph Zito","Robert Abramoff","Dolph Lundgren","United States",16000000,4192440,"Abramoff Production",105
"Rocket Gibraltar",PG,Drama,1988,1988-09-02,6.6,1800,"Daniel Petrie","Amos Poe","Burt Lancaster","United States",3000000,187349,"Columbia Pictures",99
1969,R,Drama,1988,1988-11-18,5.8,3600,"Ernest Thompson","Ernest Thompson","Robert Downey Jr.","United States",7000000,5979011,"Atlantic Entertainment Group",95
"Memories of Me",PG-13,Comedy,1988,1988-10-07,5.7,994,"Henry Winkler","Eric Roth","Billy Crystal","United States",12000000,3965604,"Metro-Goldwyn-Mayer (MGM)",105
"The Couch Trip",R,Comedy,1988,1988-01-15,5.8,4800,"Michael Ritchie","Ken Kolb","Dan Aykroyd","United States",19000000,11005304,"Orion Pictures",97
"Bad Dreams",R,Horror,1988,1988-04-08,5.6,3600,"Andrew Fleming","Andrew Fleming","Jennifer Rubin","United States",4000000,9797098,"No Frills Film Production",80
"Another Woman",PG,Drama,1988,1988-11-18,7.3,13000,"Woody Allen","Woody Allen","Gena Rowlands","United States",10000000,1562749,"Jack Rollins & Charles H. Joffe Productions",81
Sunset,R,Crime,1988,1988-04-29,5.7,3900,"Blake Edwards","Rod Amateau","Bruce Willis","United States",16000000,4594452,"Cecchi Gori Group Tiger Cinematografica",102
Cop,R,Crime,1988,1988-03-11,6.4,4800,"James B. Harris","James Ellroy","James Woods","United States",3000000,1984315,"Atlantic Entertainment Group",110
Pulse,PG-13,Horror,1988,1988-03-04,5.4,2300,"Paul Golding","Paul Golding","Cliff De Young","United States",6000000,40397,"Aspen Film Society",91
"Stormy Monday",R,Crime,1988,"May 1988",6.2,3800,"Mike Figgis","Mike Figgis","Melanie Griffith","United Kingdom",4000000,1791328,"Atlantic Entertainment Group",93
"Switching Channels",PG,Comedy,1988,1988-03-04,5.9,3500,"Ted Kotcheff","Ben Hecht","Kathleen Turner","United States",18000000,9129999,"TriStar Pictures",105
"Crossing Delancey",PG,Comedy,1988,1988-09-16,6.9,3900,"Joan Micklin Silver","Susan Sandler","Amy Irving","United States",4000000,16262415,"Warner Bros.",97
Shakedown,R,Action,1988,1988-05-06,6,3000,"James Glickenhaus","James Glickenhaus","Peter Weller","United States",6000000,10068039,"Shapiro-Glickenhaus Entertainment",97
"Everybody's All-American",R,Drama,1988,1988-11-04,6.2,3000,"Taylor Hackford","Frank Deford","Jessica Lange","United States",22000000,12638294,"New Visions",127
"Heartbreak Hotel",PG-13,Comedy,1988,1988-09-30,5.7,1200,"Chris Columbus","Chris Columbus","David Keith","United States",13000000,5509417,"Silver Screen Partners III",97
"The Kiss",R,Drama,1988,1988-10-14,5.4,1500,"Pen Densham","Tom Ropelewski","Joanna Pacula",Canada,6000000,1869148,"TriStar Pictures",101
Spellbinder,R,Drama,1988,1988-09-23,5.8,2200,"Janet Greek","Tracy TormÃ©","Tim Daly","United States",6000000,657446,"Metro-Goldwyn-Mayer (MGM)",99
"Permanent Record",PG-13,Drama,1988,1988-04-22,6.4,1900,"Marisa Silver","Jarre Fees","Alan Boyce","United States",8000000,1893139,"Paramount Pictures",91
"Illegally Yours",PG,Comedy,1988,1988-05-13,4.2,949,"Peter Bogdanovich","Michael Kaplan","Rob Lowe","United States",13000000,259019,"Crescent Moon",102
"Track 29",R,Drama,1988,1988-07-12,5.9,2000,"Nicolas Roeg","Dennis Potter","Theresa Russell","United Kingdom",5000000,429028,"HandMade Films",90
"Ernest Saves Christmas",PG,Comedy,1988,1988-11-11,5.6,10000,"John R. Cherry III","Ed Turner","Jim Varney","United States",6000000,28202109,"Touchstone Pictures",95
"Moon Over Parador",PG-13,Comedy,1988,1988-09-09,6,5500,"Paul Mazursky","Charles G. Booth","Richard Dreyfuss","United States",20000000,11444204,"Universal Pictures",103
"Off Limits",R,Action,1988,1988-03-11,6.2,2700,"Christopher Crowe","Christopher Crowe","Willem Dafoe","United States",12000000,7242035,"Twentieth Century Fox",102
Tapeheads,R,Comedy,1988,1988-10-21,5.7,3900,"Bill Fishman","Bill Fishman","John Cusack","United States",3000000,343786,"Front Films",93
"Apartment Zero",R,Drama,1988,1989-09-15,7,3700,"Martin Donovan","Martin Donovan","Hart Bochner","United Kingdom",4000000,1267578,"Producers Representative Organization",124
"The Good Mother",R,Drama,1988,1988-11-04,5.7,1500,"Leonard Nimoy","Michael Bortman","Diane Keaton","United States",14000000,4764606,"Touchstone Pictures",103
"Indiana Jones and the Last Crusade",PG-13,Action,1989,1989-05-24,8.2,707000,"Steven Spielberg","Jeffrey Boam","Harrison Ford","United States",48000000,474171806,"Paramount Pictures",127
"Road House",R,Action,1989,1989-05-19,6.6,66000,"Rowdy Herrington","R. Lance Hill","Patrick Swayze","United States",17000000,30050028,"Silver Pictures",114
Batman,PG-13,Action,1989,1989-06-23,7.5,346000,"Tim Burton","Bob Kane","Michael Keaton","United States",35000000,411508343,"Warner Bros.",126
"Bill & Ted's Excellent Adventure",PG,Adventure,1989,1989-02-17,7,123000,"Stephen Herek","Chris Matheson","Keanu Reeves","United States",10000000,40508994,"De Laurentiis Entertainment Group (DEG)",90
"Dead Poets Society",PG,Comedy,1989,1989-06-09,8.1,442000,"Peter Weir","Tom Schulman","Robin Williams","United States",16400000,235860116,"Touchstone Pictures",128
"The Little Mermaid",G,Animation,1989,1989-11-17,7.6,244000,"Ron Clements","John Musker","Jodi Benson","United States",40000000,211343479,"Walt Disney Pictures",83
"The Abyss",PG-13,Adventure,1989,1989-08-09,7.5,167000,"James Cameron","James Cameron","Ed Harris","United States",70000000,90000098,"Twentieth Century Fox",140
"Back to the Future Part II",PG,Adventure,1989,1989-11-22,7.8,494000,"Robert Zemeckis","Robert Zemeckis","Michael J. Fox","United States",40000000,332500002,"Universal Pictures",108
"Do the Right Thing",R,Comedy,1989,1989-07-21,8,94000,"Spike Lee","Spike Lee","Danny Aiello","United States",6500000,37295445,"40 Acres & A Mule Filmworks",120
"Honey, I Shrunk the Kids",PG,Adventure,1989,1989-06-23,6.4,146000,"Joe Johnston","Stuart Gordon","Rick Moranis","United States",18000000,222724172,"Walt Disney Pictures",93
"Turner & Hooch",PG,Comedy,1989,1989-07-28,6.2,66000,"Roger Spottiswoode","Dennis Shryack","Tom Hanks","United States",13000000,71079915,"Touchstone Pictures",97
"Sex, Lies, and Videotape",R,Drama,1989,1989-09-22,7.2,52000,"Steven Soderbergh","Steven Soderbergh","James Spader","United States",1200000,24741667,"Outlaw Productions (I)",100
"When Harry Met Sally...",R,Comedy,1989,1989-07-21,7.6,201000,"Rob Reiner","Nora Ephron","Billy Crystal","United States",16000000,93232006,"Castle Rock Entertainment",95
"Major League",R,Comedy,1989,1989-04-07,7.2,64000,"David S. Ward","David S. Ward","Tom Berenger","United States",11000000,49797148,"Mirage Enterprises",107
"Steel Magnolias",PG,Comedy,1989,1989-11-22,7.3,50000,"Herbert Ross","Robert Harling","Shirley MacLaine","United States",15000000,96759512,"TriStar Pictures",117
"Pet Sematary",R,Fantasy,1989,1989-04-21,6.6,97000,"Mary Lambert","Stephen King","Dale Midkiff","United States",11500000,57470138,"Paramount Pictures",103
"Uncle Buck",PG,Comedy,1989,1989-08-16,7,88000,"John Hughes","John Hughes","John Candy","United States",15000000,79258538,"Universal Pictures",100
"Ghostbusters II",PG,Action,1989,1989-06-16,6.6,187000,"Ivan Reitman","Dan Aykroyd","Bill Murray","United States",37000000,215394738,"Columbia Pictures",108
"Tango & Cash",R,Action,1989,1989-12-22,6.4,98000,"Andrey Konchalovskiy","Randy Feldman","Sylvester Stallone","United States",55000000,63408614,"Warner Bros.",104
"Born on the Fourth of July",R,Biography,1989,1990-01-05,7.2,101000,"Oliver Stone","Ron Kovic","Tom Cruise","United States",14000000,161001698,Ixtlan,145
Glory,R,Biography,1989,1990-02-16,7.8,126000,"Edward Zwick","Kevin Jarre","Matthew Broderick","United States",18000000,26979166,"TriStar Pictures",122
Parenthood,PG-13,Comedy,1989,1989-08-02,7,46000,"Ron Howard","Lowell Ganz","Steve Martin","United States",20000000,126297830,"Imagine Entertainment",124
"Lethal Weapon 2",R,Action,1989,1989-07-07,7.2,166000,"Richard Donner","Jeffrey Boam","Mel Gibson","United States",28000000,227853986,"Warner Bros.",114
"National Lampoon's Christmas Vacation",PG-13,Comedy,1989,1989-12-01,7.6,164000,"Jeremiah S. Chechik","John Hughes","Chevy Chase","United States",27000000,73594646,"Warner Bros.",97
"The 'Burbs",PG,Comedy,1989,1989-02-17,6.9,71000,"Joe Dante","Dana Olsen","Tom Hanks","United States",18000000,49101993,"Imagine Entertainment",102
"License to Kill",PG-13,Action,1989,1989-07-14,6.6,97000,"John Glen","Michael G. Wilson","Timothy Dalton","United Kingdom",32000000,156167015,Danjaq,133
"Harlem Nights",R,Comedy,1989,1989-11-17,6.1,21000,"Eddie Murphy","Eddie Murphy","Eddie Murphy","United States",30000000,60864870,"Eddie Murphy Productions",116
"Lock Up",R,Action,1989,1989-08-04,6.4,39000,"John Flynn","Richard Smith","Sylvester Stallone","United States",24000000,22099847,"White Eagle",109
Warlock,R,Action,1989,1991-01-11,6.2,16000,"Steve Miner","David Twohy","Julian Sands","United States",7000000,9094451,"New World Pictures",103
"See No Evil, Hear No Evil",R,Comedy,1989,1989-05-12,6.9,50000,"Arthur Hiller","Earl Barret","Richard Pryor","United States",18000000,46908987,"TriStar Pictures",103
"Casualties of War",R,Action,1989,1989-08-18,7.1,42000,"Brian De Palma","Daniel Lang","Michael J. Fox","United States",22500000,18671317,"Art Linson Productions",113
"The Package",R,Action,1989,1989-08-25,6.4,9100,"Andrew Davis","John Bishop","Gene Hackman","United States",18000000,10647219,"Orion Pictures",108
"The War of the Roses",R,Comedy,1989,1989-12-08,6.8,50000,"Danny DeVito","Warren Adler","Michael Douglas","United States",26000000,160188546,"Twentieth Century Fox",116
"The Wizard",PG,Adventure,1989,1989-12-15,6.1,14000,"Todd Holland","David Chisholm","Fred Savage","United States",6000000,14278900,"Carolco Pictures",100
UHF,PG-13,Comedy,1989,1989-07-21,7,27000,"Jay Levey","'Weird Al' Yankovic","'Weird Al' Yankovic","United States",5000000,6157157,"Cinecorp SAC",97
"Look Who's Talking",PG-13,Comedy,1989,1989-10-13,5.9,78000,"Amy Heckerling","Amy Heckerling","John Travolta","United States",7500000,296999813,"TriStar Pictures",93
"Star Trek V: The Final Frontier",PG,Action,1989,1989-06-09,5.5,57000,"William Shatner","Gene Roddenberry","William Shatner","United States",27800000,52210049,"Paramount Pictures",107
"All Dogs Go to Heaven",G,Animation,1989,1989-11-17,6.8,38000,"Don Bluth","Don Bluth","Dom DeLuise",Ireland,13800000,27100027,"Goldcrest Films International",84
Cyborg,R,Action,1989,1989-04-07,5.1,30000,"Albert Pyun","Albert Pyun","Jean-Claude Van Damme","United States",500000,10166459,"Cannon Entertainment",86
Always,PG,Drama,1989,1989-12-22,6.4,29000,"Steven Spielberg","Jerry Belson","Richard Dreyfuss","United States",31000000,74134790,"Universal Pictures",122
Leviathan,R,Adventure,1989,1989-03-17,5.8,19000,"George P. Cosmatos","David Webb Peoples","Peter Weller","United States",25000000,15704614,Filmauro,98
"Best of the Best",PG-13,Action,1989,1989-11-10,6.4,13000,"Robert Radler","Phillip Rhee","Eric Roberts","United States",5000000,1700000,"The Movie Group",97
"Dead Calm",R,Horror,1989,1989-04-07,6.8,38000,"Phillip Noyce","Terry Hayes","Nicole Kidman",Australia,10400000,7825009,"Kennedy Miller Productions",96
Kickboxer,R,Action,1989,1989-09-08,6.5,52000,"Mark DiSalle","Mark DiSalle","Jean-Claude Van Damme","United States",1500000,14697005,"Kings Road Entertainment",97
"Black Rain",R,Action,1989,1989-09-22,6.6,51000,"Ridley Scott","Craig Bolotin","Michael Douglas","United States",30000000,134212055,"Paramount Pictures",125
"Troop Beverly Hills",PG,Adventure,1989,1989-03-24,5.8,9600,"Jeff Kanew","Ava Ostern Fries","Shelley Long","United States",18000000,8508843,"Weintraub Entertainment Group",105
"Driving Miss Daisy",PG,Drama,1989,1990-01-26,7.4,102000,"Bruce Beresford","Alfred Uhry","Morgan Freeman","United States",7500000,145793296,"The Zanuck Company",99
"Drugstore Cowboy",R,Crime,1989,1989-10-20,7.3,34000,"Gus Van Sant","James Fogle","Matt Dillon","United States",2500000,4729352,"Avenue Pictures",101
"A Nightmare on Elm Street 5: The Dream Child",R,Fantasy,1989,1989-08-11,5.1,42000,"Stephen Hopkins","Wes Craven","Robert Englund","United States",6000000,22168359,"New Line Cinema",89
"Halloween 5: The Revenge of Michael Myers",R,Horror,1989,1989-10-13,5.1,36000,"Dominique Othenin-Girard","John Carpenter","Donald Pleasence","United States",5000000,11642254,"Magnum Pictures Inc.",96
"DeepStar Six",R,Action,1989,1989-01-13,5.4,11000,"Sean S. Cunningham","Lewis Abernathy","Greg Evigan","United States",8000000,8143225,"Carolco Entertainment",99
"Sea of Love",R,Crime,1989,1989-09-15,6.8,39000,"Harold Becker","Richard Price","Al Pacino","United States",19000000,110879513,"Universal Pictures",113
"Skin Deep",R,Comedy,1989,1989-03-03,6.1,4200,"Blake Edwards","Blake Edwards","John Ritter","United States",9000000,19674852,"Beco Films",101
K-9,PG-13,Action,1989,1989-04-28,6,32000,"Rod Daniel","Steven Siegel","Jim Belushi","United States",17000000,78247647,"Gordon Company",101
"Lean on Me",PG-13,Drama,1989,1989-03-03,7.4,19000,"John G. Avildsen","Michael Schiffer","Morgan Freeman","United States",10000000,31906454,"Norman Twain Productions",108
"Henry V",PG-13,Action,1989,1989-11-08,7.5,29000,"Kenneth Branagh","William Shakespeare","Kenneth Branagh","United Kingdom",9000000,10161099,"Renaissance Films",137
"Friday the 13th Part VIII: Jason Takes Manhattan",R,Adventure,1989,1989-07-28,4.6,35000,"Rob Hedden","Rob Hedden","Jensen Daggett",Canada,5000000,14343976,"Paramount Pictures",100
Valmont,R,Drama,1989,1989-11-17,7,13000,"Milos Forman","Choderlos de Laclos","Colin Firth",France,33000000,1132112,"Renn Productions",137
Scandal,R,Drama,1989,1989-04-28,6.5,4800,"Michael Caton-Jones","Michael Thomas","John Hurt","United Kingdom",7000000,8800000,"British Screen Productions",106
"The Fabulous Baker Boys",R,Comedy,1989,1989-10-13,6.9,22000,"Steve Kloves","Steve Kloves","Jeff Bridges","United States",13000000,18428904,"Gladden Entertainment",114
Shocker,R,Comedy,1989,1989-10-27,5.5,15000,"Wes Craven","Wes Craven","Michael Murphy","United States",5000000,16554699,"Alive Films",109
"Next of Kin",R,Action,1989,1989-10-20,5.8,9700,"John Irvin","Michael Jenning","Patrick Swayze","United States",12000000,15942628,"Lorimar Film Entertainment",108
"Mystery Train",R,Comedy,1989,1989-11-17,7.6,26000,"Jim Jarmusch","Jim Jarmusch","Masatoshi Nagase",Japan,2800000,1544973,"JVC Entertainment Networks",110
Blaze,R,Biography,1989,1989-12-13,6,3600,"Ron Shelton","Blaze Starr","Paul Newman","United States",22000000,19131246,"Touchstone Pictures",120
